using cuda device
current class:obj1
loss:0.131543  heatmap_loss:0.112315  contour_loss:0.019227
loss:0.287618  heatmap_loss:0.235603  contour_loss:0.052015
loss:0.128106  heatmap_loss:0.111544  contour_loss:0.016562
loss:0.132668  heatmap_loss:0.110232  contour_loss:0.022435
loss:0.136498  heatmap_loss:0.116303  contour_loss:0.020195
loss:0.238374  heatmap_loss:0.210948  contour_loss:0.027426
loss:0.229906  heatmap_loss:0.192505  contour_loss:0.037400
loss:0.143658  heatmap_loss:0.125508  contour_loss:0.018150
loss:0.104237  heatmap_loss:0.088965  contour_loss:0.015272
loss:0.210372  heatmap_loss:0.190628  contour_loss:0.019744
loss:0.242388  heatmap_loss:0.216150  contour_loss:0.026239
loss:0.126387  heatmap_loss:0.113339  contour_loss:0.013049
loss:0.221937  heatmap_loss:0.194974  contour_loss:0.026964
loss:0.160007  heatmap_loss:0.143897  contour_loss:0.016110
loss:0.143706  heatmap_loss:0.129091  contour_loss:0.014616
loss:0.110553  heatmap_loss:0.091430  contour_loss:0.019123
loss:0.124534  heatmap_loss:0.105074  contour_loss:0.019459
loss:0.106576  heatmap_loss:0.091792  contour_loss:0.014784
loss:0.154997  heatmap_loss:0.130804  contour_loss:0.024192
loss:0.233278  heatmap_loss:0.195095  contour_loss:0.038182
loss:0.200408  heatmap_loss:0.175863  contour_loss:0.024545
loss:0.187814  heatmap_loss:0.165751  contour_loss:0.022063
loss:0.170475  heatmap_loss:0.147900  contour_loss:0.022575
loss:0.185893  heatmap_loss:0.157046  contour_loss:0.028846
loss:0.101178  heatmap_loss:0.088732  contour_loss:0.012446
loss:0.103279  heatmap_loss:0.085883  contour_loss:0.017396
loss:0.141436  heatmap_loss:0.121965  contour_loss:0.019471
loss:0.156205  heatmap_loss:0.136499  contour_loss:0.019706
loss:0.160913  heatmap_loss:0.140330  contour_loss:0.020583
loss:0.140225  heatmap_loss:0.118980  contour_loss:0.021245
loss:0.201864  heatmap_loss:0.171972  contour_loss:0.029892
loss:0.122042  heatmap_loss:0.105202  contour_loss:0.016840
loss:0.159615  heatmap_loss:0.136076  contour_loss:0.023539
loss:0.115031  heatmap_loss:0.097819  contour_loss:0.017212
loss:0.247963  heatmap_loss:0.218654  contour_loss:0.029309
loss:0.197638  heatmap_loss:0.171203  contour_loss:0.026434
loss:0.212648  heatmap_loss:0.178871  contour_loss:0.033777
loss:0.159952  heatmap_loss:0.141066  contour_loss:0.018886
loss:0.165945  heatmap_loss:0.146282  contour_loss:0.019663
loss:0.145120  heatmap_loss:0.128563  contour_loss:0.016557
loss:0.130509  heatmap_loss:0.112378  contour_loss:0.018131
loss:0.213569  heatmap_loss:0.188914  contour_loss:0.024655
loss:0.159089  heatmap_loss:0.139903  contour_loss:0.019186
loss:0.132441  heatmap_loss:0.109288  contour_loss:0.023153
